City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Severo-Kurilsk,RU,50.6789,156.125,28.53,74,100,16.67,overcast clouds
256,Cacoal,BR,-11.4386,-61.4472,70.29,98,100,3.09,overcast clouds
257,Pontes E Lacerda,BR,-15.2261,-59.3353,70.0,99,100,4.7,overcast clouds
258,Samarai,PG,-10.6167,150.6667,87.1,66,100,11.9,light rain
259,Suntar,RU,62.1444,117.6319,-6.14,95,95,5.12,overcast clouds
260,Angoche,MZ,-16.2325,39.9086,74.88,88,9,6.85,clear sky
261,Santa Rosalia,MX,27.3167,-112.2833,60.48,37,3,3.13,clear sky
262,Kabala,SL,9.5833,-11.55,68.85,26,92,1.23,overcast clouds
263,Matamoros,MX,25.5333,-103.25,64.51,20,0,4.61,clear sky
264,Saskylakh,RU,71.9167,114.0833,-28.97,100,69,2.08,broken clouds
265,Harstad,NO,68.799,16.5293,22.39,72,100,7.83,overcast clouds
266,Baykit,RU,61.67,96.37,-3.55,100,100,0.94,overcast clouds
267,Touros,BR,-5.1989,-35.4608,76.1,75,46,12.21,scattered clouds
268,Dong Hoi,VN,17.4833,106.6,63.86,88,100,7.87,overcast clouds
269,Mokhsogollokh,RU,61.4681,128.9203,-11.22,91,100,7.9,overcast clouds
270,Atbasar,KZ,51.8,68.3333,19.81,95,100,12.3,light snow
271,Saint-Philippe,RE,-21.3585,55.7679,78.39,80,99,14.12,overcast clouds
272,Mount Gambier,AU,-37.8333,140.7667,66.11,48,86,24.16,overcast clouds
273,Kumluca,TR,36.3703,30.2869,40.68,71,93,4.81,overcast clouds
274,Cherskiy,RU,68.75,161.3,-4.02,87,100,4.85,overcast clouds
275,Mocuba,MZ,-16.8392,36.9856,68.9,98,2,2.17,clear sky
276,Aswan,EG,24.0934,32.907,49.78,61,0,6.62,clear sky
277,Valparaiso,CL,-33.0393,-71.6273,66.47,79,0,1.14,clear sky
278,Porto Velho,BR,-8.7619,-63.9039,75.25,94,20,5.75,moderate rain
279,Byron Bay,AU,-28.65,153.6167,93.31,56,16,4.92,few clouds
280,Kachug,RU,53.9606,105.8817,-11.56,98,97,1.1,overcast clouds
281,Pisco,PE,-13.7,-76.2167,71.65,78,100,10.36,overcast clouds
282,Eastlake,US,41.6539,-81.4504,22.14,83,0,1.99,clear sky
